num_parts,num_edges,avg_degree,density,avg_edge_weight,set_num
26,325,25.0,1.0,0.4107692307692308,00-1
8,28,7.0,1.0,0.6785714285714286,0011-2
6,15,5.0,1.0,0.6333333333333333,0012-1
6,15,5.0,1.0,0.6333333333333333,0013-1
6,15,5.0,1.0,0.7533333333333334,0014-1
8,28,7.0,1.0,0.6178571428571429,0015-1
8,28,7.0,1.0,0.7142857142857143,0016-1
38,703,37.0,1.0,0.2927453769559033,00-2
31,465,30.0,1.0,0.32,00-3
39,741,38.0,1.0,0.3026990553306343,00-4
5,10,4.0,1.0,1.15,005-1
5,10,4.0,1.0,1.15,010-1
6,15,5.0,1.0,1.2,010-3
13,78,12.0,1.0,0.491025641025641,011-1
11,55,10.0,1.0,0.6818181818181818,022-1
30,435,29.0,1.0,0.22666666666666666,03093-1
17,136,16.0,1.0,0.5014705882352941,033-2
22,231,21.0,1.0,0.5134199134199134,044-1
23,253,22.0,1.0,0.5272727272727273,055-2
29,406,28.0,1.0,0.4,066-1
57,1596,56.0,1.0,0.2570175438596491,080-1
46,1035,45.0,1.0,0.28792270531400965,088-1
80,3160,79.0,1.0,0.27889240506329116,10000-1
129,8256,128.0,1.0,0.24714147286821705,10001-1
53,1378,52.0,1.0,0.30805515239477504,10002-1
1,0,0.0,0.0,0.0,10003-1
1,0,0.0,0.0,0.0,10004-1
1,0,0.0,0.0,0.0,10005-1
1,0,0.0,0.0,0.0,10006-1
1,0,0.0,0.0,0.0,10007-1
1,0,0.0,0.0,0.0,10008-1
11,55,10.0,1.0,1.5,10009-1
10,45,9.0,1.0,0.6155555555555555,100-1
11,55,10.0,1.0,1.5,10010-1
17,136,16.0,1.0,1.5,10011-1
17,136,16.0,1.0,1.5,10012-1
26,325,25.0,1.0,0.3547692307692308,10013-1
47,1081,46.0,1.0,0.30832562442183165,10014-1
35,595,34.0,1.0,0.29445378151260504,10015-1
33,528,32.0,1.0,0.2820075757575758,10016-1
41,820,40.0,1.0,0.3018292682926829,10017-1
59,1711,58.0,1.0,0.4742840444184687,10018-1
164,13366,163.0,1.0,0.24881789615442168,10019-1
9,36,8.0,1.0,0.6166666666666667,100-2
83,3403,82.0,1.0,0.2543637966500147,10020-1
86,3655,85.0,1.0,0.2513543091655267,10020-2
56,1540,55.0,1.0,0.349025974025974,10021-1
62,1891,61.0,1.0,0.2700687466948704,10022-1
45,990,44.0,1.0,0.27121212121212124,10023-1
139,9591,138.0,1.0,0.26354916067146283,10024-1
56,1540,55.0,1.0,0.2950649350649351,10025-1
71,2485,70.0,1.0,0.26100603621730384,10026-1
129,8256,128.0,1.0,0.221875,10027-1
100,4950,99.0,1.0,0.2625454545454545,10029-1
160,12720,159.0,1.0,0.292688679245283,10030-1
68,2278,67.0,1.0,0.25188762071992976,10036-1
